mapchip_serial,item_id,category,x,y,width,height,flip,sample_int,sample_float,sample_string
1,15,3,2,2,1,1,0,104,104.1,test4
2,15,3,2,3,1,1,0,105,105.1,test5
3,15,3,2,4,1,1,0,106,106.1,test6
4,15,3,2,5,1,1,0,107,107.1,test7
5,15,3,2,6,1,1,0,108,108.1,test8
6,15,3,2,7,1,1,0,108,108.1,test8
7,15,3,2,8,1,1,0,108,108.1,test8
8,15,3,2,9,1,1,0,108,108.1,test8
9,15,3,2,10,1,1,0,108,108.1,test8
10,15,3,2,11,1,1,0,108,108.1,test8
11,15,3,2,12,1,1,0,108,108.1,test8
12,15,3,2,13,1,1,0,108,108.1,test8
13,15,3,2,14,1,1,0,108,108.1,test8
14,15,3,3,2,1,1,0,109,109.1,test9
15,15,3,4,2,1,1,0,109,109.1,test9
16,15,3,5,2,1,1,0,109,109.1,test9
17,15,3,6,2,1,1,0,109,109.1,test9
18,15,3,7,2,1,1,0,109,109.1,test9
19,15,3,8,2,1,1,0,109,109.1,test9
20,15,3,9,2,1,1,0,109,109.1,test9
21,15,3,10,2,1,1,0,109,109.1,test9
22,15,3,11,2,1,1,0,109,109.1,test9
23,15,3,12,2,1,1,0,109,109.1,test9
24,15,3,13,2,1,1,0,109,109.1,test9
25,15,3,14,2,1,1,0,109,109.1,test9
