item_id,need_type,need_num,comment
101,coin,2000,クラシック(2)の購入条件
102,coin,4000,クラシック(4)の購入条件
103,coin,5000,マホガニー(2)の購入条件
104,coin,10000,マホガニー(4)の購入条件
105,coin,8000,ファミリー(2)の購入条件
106,coin,16000,ファミリー(4)の購入条件
107,coin,10000,キノコ(2)の購入条件
108,coin,20000,キノコ(4)の購入条件
109,coin,15000,スター(2)の購入条件
110,coin,30000,スター(4)の購入条件
111,coin,20000,貴族風(2)の購入条件
112,coin,40000,貴族風(4)の購入条件
113,coin,25000,春(2)の購入条件
114,coin,50000,春(4)の購入条件
115,coin,25000,夏(2)の購入条件
116,coin,50000,夏(4)の購入条件
117,coin,25000,秋(2)の購入条件
118,coin,50000,秋(4)の購入条件
119,coin,25000,冬(2)の購入条件
120,coin,50000,冬(4)の購入条件
121,ticket,5,海(2)の購入条件
122,ticket,10,海(4)の購入条件
123,ticket,15,ヴァンパイア(2)の購入条件
124,ticket,30,ヴァンパイア(4)の購入条件
125,ticket,20,キュート(2)の購入条件
126,ticket,40,キュート(4)の購入条件
127,ticket,25,パストラル(2)の購入条件
128,ticket,50,パストラル(4)の購入条件
129,ticket,30,田園(2)の購入条件
130,ticket,60,田園(4)の購入条件
131,ticket,50,オレンジフレグランス(2)の購入条件
132,ticket,100,オレンジフレグランス(4)の購入条件
133,ticket,75,忍者(2)の購入条件
134,ticket,150,忍者(4)の購入条件
135,ticket,100,マーブルチョコレート(2)の購入条件
136,ticket,200,マーブルチョコレート(4)の購入条件
201,coin,30000,クラシックの購入条件
202,coin,50000,レンガの購入条件
203,coin,100000,岩の購入条件
204,coin,250000,キャッスルの購入条件
205,coin,500000,赤レンガの購入条件
206,coin,750000,グラニットの購入条件
207,ticket,25,モダンの購入条件
208,ticket,50,モザイクの購入条件
209,ticket,75,カントリーの購入条件
210,ticket,100,和風の購入条件
211,ticket,125,忍者の購入条件
212,ticket,150,カフェの購入条件
301,coin,30000,ブルーの購入条件
302,coin,50000,グリーンの購入条件
303,coin,70000,モクタイの購入条件
304,coin,100000,イチゴの購入条件
305,coin,300000,ビスケットの購入条件
306,coin,500000,チェスボードの購入条件
307,coin,800000,チェックの購入条件
308,ticket,20,チョコレートの購入条件
309,ticket,35,モザイクの購入条件
310,ticket,45,ドットの購入条件
311,ticket,55,エレガンスの購入条件
312,ticket,65,赤タイルの購入条件
313,ticket,75,カーペットの購入条件
314,ticket,85,畳の購入条件
315,ticket,100,レッドカーペットの購入条件
401,coin,25,お野菜の購入条件
402,coin,50,肉の購入条件
403,coin,40,魚介類の購入条件
404,coin,10,調味料の購入条件
501,ticket,15,50000コインの購入条件
502,ticket,30,10000コインの購入条件
503,ticket,80,250000コインの購入条件
504,ticket,150,500000コインの購入条件
505,ticket,300,1000000コインの購入条件
506,ticket,1500,5000000コインの購入条件
511,money,100,40枚の購入条件
512,money,500,220枚の購入条件
513,money,1000,440枚の購入条件
514,money,2000,960枚の購入条件
515,money,5000,2400枚の購入条件
516,money,9800,5200枚の購入条件
